tree_cn,plot_cn,block,plot,x_pos,y_pos,tree,position,species,spec_long,spec_short,origin,group,plot_species,sr,fert,mortality_2017,mortality_2018,mortality_2019,beetles,height_2017,height_2018,dia_2017,dia_2018,height,pos,rsheight,height_new
I.1.1.3.1,I.1.1,1,1,3,1,3.1,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,W,2.14827540673834,2.14827540673834
I.1.1.3.2,I.1.1,1,1,3,2,3.2,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,150,187,28,33,1.87,NA,NA,1.87
I.1.1.3.3,I.1.1,1,1,3,3,3.3,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,177,238,31,35,2.38,NA,NA,2.38
I.1.1.3.4,I.1.1,1,1,3,4,3.4,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,164,226,24,25,2.26,NA,NA,2.26
I.1.1.3.5,I.1.1,1,1,3,5,3.5,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,146,189,27,29.5,1.89,NA,NA,1.89
I.1.1.3.6,I.1.1,1,1,3,6,3.6,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,222,303,29,34.5,3.03,NA,NA,3.03
I.1.1.3.7,I.1.1,1,1,3,7,3.7,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,E,2.25525777628634,2.25525777628634
I.1.1.4.1,I.1.1,1,1,4,1,4.1,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,W,2.14827540673834,2.14827540673834
I.1.1.4.2,I.1.1,1,1,4,2,4.2,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,dead,dead,0,56,40,17,18,0.4,NA,NA,0.4
I.1.1.4.3,I.1.1,1,1,4,3,4.3,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,127,148,17,21,1.48,NA,NA,1.48
I.1.1.4.4,I.1.1,1,1,4,4,4.4,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,192,179,25,29,1.79,NA,NA,1.79
I.1.1.4.5,I.1.1,1,1,4,5,4.5,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,223,314,31,35.5,3.14,NA,NA,3.14
I.1.1.4.6,I.1.1,1,1,4,6,4.6,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,251,318,35,39,3.18,NA,NA,3.18
I.1.1.4.7,I.1.1,1,1,4,7,4.7,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,E,2.25525777628634,2.25525777628634
I.1.1.5.1,I.1.1,1,1,5,1,5.1,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,W,2.14827540673834,2.14827540673834
I.1.1.5.2,I.1.1,1,1,5,2,5.2,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,202,272,27,33,2.72,NA,NA,2.72
I.1.1.5.3,I.1.1,1,1,5,3,5.3,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,193,260,27,32,2.6,NA,NA,2.6
I.1.1.5.4,I.1.1,1,1,5,4,5.4,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,144,176,26,26,1.76,NA,NA,1.76
I.1.1.5.5,I.1.1,1,1,5,5,5.5,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,202,240,24,24,2.4,NA,NA,2.4
I.1.1.5.6,I.1.1,1,1,5,6,5.6,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,220,279,36,38,2.79,NA,NA,2.79
I.1.1.5.7,I.1.1,1,1,5,7,5.7,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,E,2.25525777628634,2.25525777628634
I.1.1.6.1,I.1.1,1,1,6,1,6.1,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,W,2.14827540673834,2.14827540673834
I.1.1.6.2,I.1.1,1,1,6,2,6.2,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,205,261,30,34,2.61,NA,NA,2.61
I.1.1.6.3,I.1.1,1,1,6,3,6.3,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,171,207,30,33,2.07,NA,NA,2.07
I.1.1.6.4,I.1.1,1,1,6,4,6.4,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,160,219,27,32,2.19,NA,NA,2.19
I.1.1.6.5,I.1.1,1,1,6,5,6.5,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,228,286,34,38.5,2.86,NA,NA,2.86
I.1.1.6.6,I.1.1,1,1,6,6,6.6,center,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,218,291,24,27,2.91,NA,NA,2.91
I.1.1.6.7,I.1.1,1,1,6,7,6.7,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,E,2.25525777628634,2.25525777628634
I.1.1.7.1,I.1.1,1,1,7,1,7.1,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,SW,2.11309714426331,2.11309714426331
I.1.1.7.2,I.1.1,1,1,7,2,7.2,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,S,2.19022928586033,2.19022928586033
I.1.1.7.3,I.1.1,1,1,7,3,7.3,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,S,2.19022928586033,2.19022928586033
I.1.1.7.4,I.1.1,1,1,7,4,7.4,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,S,2.19022928586033,2.19022928586033
I.1.1.7.5,I.1.1,1,1,7,5,7.5,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,S,2.19022928586033,2.19022928586033
I.1.1.7.6,I.1.1,1,1,7,6,7.6,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,S,2.19022928586033,2.19022928586033
I.1.1.7.7,I.1.1,1,1,7,7,7.7,edge,PIAB,Picea abies L.,P. abies,European,gymnosperm,PIAB,1,P,NA,alive,alive,0,NA,NA,NA,NA,NA,SE,2.17395550095934,2.17395550095934
I.1.10.1.1,I.1.10,1,10,1,1,1.1,edge,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,NW,3.60045522267202,3.60045522267202
I.1.10.1.2,I.1.10,1,10,1,2,1.2,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,N,5.30640706944804,5.30640706944804
I.1.10.1.3,I.1.10,1,10,1,3,1.3,edge,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,N,3.26640706944804,3.26640706944804
I.1.10.1.4,I.1.10,1,10,1,4,1.4,edge,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,N,1.85140706944804,1.85140706944804
I.1.10.1.5,I.1.10,1,10,1,5,1.5,edge,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,N,1.19640706944804,1.19640706944804
I.1.10.1.6,I.1.10,1,10,1,6,1.6,edge,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,N,3.26640706944804,3.26640706944804
I.1.10.1.7,I.1.10,1,10,1,7,1.7,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,NE,4.94010551055301,4.94010551055301
I.1.10.2.1,I.1.10,1,10,2,1,2.1,edge,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,W,1.78468499579002,1.78468499579002
I.1.10.2.2,I.1.10,1,10,2,2,2.2,center,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,460,520,53,66,5.2,NA,NA,5.2
I.1.10.2.3,I.1.10,1,10,2,3,2.3,center,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,90,106,21,24,1.06,NA,NA,1.06
I.1.10.2.4,I.1.10,1,10,2,4,2.4,center,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,240,256,22,20,2.56,NA,NA,2.56
I.1.10.2.5,I.1.10,1,10,2,5,2.5,center,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,alive,dead,0,380,475,50,55,4.75,NA,NA,4.75
I.1.10.2.6,I.1.10,1,10,2,6,2.6,center,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,110,133,16,16,1.33,NA,NA,1.33
I.1.10.2.7,I.1.10,1,10,2,7,2.7,edge,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,E,5.17297541301704,5.17297541301704
I.1.10.3.1,I.1.10,1,10,3,1,3.1,edge,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,W,1.22468499579002,1.22468499579002
I.1.10.3.2,I.1.10,1,10,3,2,3.2,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,240,375,19,21,3.75,NA,NA,3.75
I.1.10.3.3,I.1.10,1,10,3,3,3.3,center,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,320,142,30,30,1.42,NA,NA,1.42
I.1.10.3.4,I.1.10,1,10,3,4,3.4,center,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,170,221,15,15,2.21,NA,NA,2.21
I.1.10.3.5,I.1.10,1,10,3,5,3.5,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,450,605,45,51.5,6.05,NA,NA,6.05
I.1.10.3.6,I.1.10,1,10,3,6,3.6,center,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,70,80,14,16,0.8,NA,NA,0.8
I.1.10.3.7,I.1.10,1,10,3,7,3.7,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,E,5.41047541301704,5.41047541301704
I.1.10.4.1,I.1.10,1,10,4,1,4.1,edge,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,damaged,resprouted,0,NA,NA,NA,NA,NA,W,2.63968499579002,2.63968499579002
I.1.10.4.2,I.1.10,1,10,4,2,4.2,center,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,350,450,36,45.5,4.5,NA,NA,4.5
I.1.10.4.3,I.1.10,1,10,4,3,4.3,center,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,90,100,20,21,1,NA,NA,1
I.1.10.4.4,I.1.10,1,10,4,4,4.4,center,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,250,277,32,20,2.77,NA,NA,2.77
I.1.10.4.5,I.1.10,1,10,4,5,4.5,center,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,100,100,19,21,1,NA,NA,1
I.1.10.4.6,I.1.10,1,10,4,6,4.6,center,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,dead,dead,dead,0,NA,95,NA,13,0.95,NA,NA,0.95
I.1.10.4.7,I.1.10,1,10,4,7,4.7,edge,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,E,2.51547541301704,2.51547541301704
I.1.10.5.1,I.1.10,1,10,5,1,5.1,edge,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,W,0.569684995790024,0.569684995790024
I.1.10.5.2,I.1.10,1,10,5,2,5.2,center,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,220,258,33,35,2.58,NA,NA,2.58
I.1.10.5.3,I.1.10,1,10,5,3,5.3,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,400,550,40,43.5,5.5,NA,NA,5.5
I.1.10.5.4,I.1.10,1,10,5,4,5.4,center,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,360,490,30,37,4.9,NA,NA,4.9
I.1.10.5.5,I.1.10,1,10,5,5,5.5,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,420,500,40,45.5,5,NA,NA,5
I.1.10.5.6,I.1.10,1,10,5,6,5.6,center,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,240,315,35,24,3.15,NA,NA,3.15
I.1.10.5.7,I.1.10,1,10,5,7,5.7,edge,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,E,3.37047541301704,3.37047541301704
I.1.10.6.1,I.1.10,1,10,6,1,6.1,edge,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,W,1.78468499579002,1.78468499579002
I.1.10.6.2,I.1.10,1,10,6,2,6.2,center,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,190,312,23,28,3.12,NA,NA,3.12
I.1.10.6.3,I.1.10,1,10,6,3,6.3,center,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,110,100,11,9,1,NA,NA,1
I.1.10.6.4,I.1.10,1,10,6,4,6.4,center,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,180,266,15,18,2.66,NA,NA,2.66
I.1.10.6.5,I.1.10,1,10,6,5,6.5,center,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,dead,dead,dead,0,NA,NA,NA,NA,NA,NA,NA,0
I.1.10.6.6,I.1.10,1,10,6,6,6.6,center,QURU,Quercus rubra L.,Q. rubra,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,280,415,23,25.5,4.15,NA,NA,4.15
I.1.10.6.7,I.1.10,1,10,6,7,6.7,edge,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,E,1.95547541301704,1.95547541301704
I.1.10.7.1,I.1.10,1,10,7,1,7.1,edge,PIST,Pinus strobus L.,P. strobus,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,SW,2.6997430208630524,2.6997430208630524
I.1.10.7.2,I.1.10,1,10,7,2,7.2,edge,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,S,0.526457983658045,0.526457983658045
I.1.10.7.3,I.1.10,1,10,7,3,7.3,edge,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,S,4.39895798365805,4.39895798365805
I.1.10.7.4,I.1.10,1,10,7,4,7.4,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,S,4.63645798365804,4.63645798365804
I.1.10.7.5,I.1.10,1,10,7,5,7.5,edge,PIPU,Picea pungens (Engelm.) var. glauca,P. pungens,North American,gymnosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,S,0.526457983658045,0.526457983658045
I.1.10.7.6,I.1.10,1,10,7,6,7.6,edge,BEPA,Betula papyrifera Marsh.,B. papyrifera,North American,angiosperm,NA_6,6,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,S,4.39895798365805,4.39895798365805
I.1.10.7.7,I.1.10,1,10,7,7,7.7,edge,LALA,Larix laricina (Du Roi) K.Koch,L. laricina,North American,gymnosperm,NA_6,6,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,SE,2.03649778675003,2.03649778675003
I.1.100.1.1,I.1.100,1,100,1,1,1.1,edge,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,NW,0.851287775473589,0.851287775473589
I.1.100.1.2,I.1.100,1,100,1,2,1.2,edge,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,N,1.5369187216136,1.5369187216136
I.1.100.1.3,I.1.100,1,100,1,3,1.3,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,N,5.19702861172349,5.19702861172349
I.1.100.1.4,I.1.100,1,100,1,4,1.4,edge,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,N,1.5369187216136,1.5369187216136
I.1.100.1.5,I.1.100,1,100,1,5,1.5,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,N,5.19702861172349,5.19702861172349
I.1.100.1.6,I.1.100,1,100,1,6,1.6,edge,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,N,1.5369187216136,1.5369187216136
I.1.100.1.7,I.1.100,1,100,1,7,1.7,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,NE,5.11944694854546,5.11944694854546
I.1.100.2.1,I.1.100,1,100,2,1,2.1,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,W,5.44825427340252,5.44825427340252
I.1.100.2.2,I.1.100,1,100,2,2,2.2,center,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,dead,dead,0,120,NA,8,NA,1.2,NA,NA,0
I.1.100.2.3,I.1.100,1,100,2,3,2.3,center,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,dead,dead,dead,0,NA,NA,NA,NA,NA,NA,NA,0
I.1.100.2.4,I.1.100,1,100,2,4,2.4,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,460,647,38,45,6.47,NA,NA,6.47
I.1.100.2.5,I.1.100,1,100,2,5,2.5,center,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,dead,dead,0,120,NA,10,NA,1.2,NA,NA,0
I.1.100.2.6,I.1.100,1,100,2,6,2.6,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,490,661,33,38,6.61,NA,NA,6.61
I.1.100.2.7,I.1.100,1,100,2,7,2.7,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,E,4.80067148984651,4.80067148984651
I.1.100.3.1,I.1.100,1,100,3,1,3.1,edge,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,W,1.78814438329263,1.78814438329263
I.1.100.3.2,I.1.100,1,100,3,2,3.2,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,540,708,44,15.5,7.08,NA,NA,7.08
I.1.100.3.3,I.1.100,1,100,3,3,3.3,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,360,4,15,17,0.04,NA,NA,0.04
I.1.100.3.4,I.1.100,1,100,3,4,3.4,center,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,dead,dead,dead,0,NA,NA,NA,NA,NA,NA,NA,0
I.1.100.3.5,I.1.100,1,100,3,5,3.5,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,480,679,33,36,6.79,NA,NA,6.79
I.1.100.3.6,I.1.100,1,100,3,6,3.6,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,370,510,25,27,5.1,NA,NA,5.1
I.1.100.3.7,I.1.100,1,100,3,7,3.7,edge,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,dead,dead,0,NA,NA,NA,NA,NA,E,1.14056159973662,1.14056159973662
I.1.100.4.1,I.1.100,1,100,4,1,4.1,edge,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,NA,NA,NA,NA,NA,W,5.44825427340252,5.44825427340252
I.1.100.4.2,I.1.100,1,100,4,2,4.2,center,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,dead,dead,dead,0,NA,NA,NA,NA,NA,NA,NA,0
I.1.100.4.3,I.1.100,1,100,4,3,4.3,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,450,540,32,35,5.4,NA,NA,5.4
I.1.100.4.4,I.1.100,1,100,4,4,4.4,center,QURO,Quercus robur L.,Q. robur,European,angiosperm,ACSA_QURO,2,Control,NA,dead,dead,0,230,230,20,20.5,2.3,NA,NA,2.3
I.1.100.4.5,I.1.100,1,100,4,5,4.5,center,ACSA,Acer saccharum Marsh.,A. saccharum,North American,angiosperm,ACSA_QURO,2,Control,NA,alive,alive,0,440,603,30,31,6.03,NA,NA,6.03
